metadata_location_name,metadata_series_label,start_year,end_year,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,records_downloaded,output_file,source_urls,status
Afognak River (Litnik),chinook,1994,2025,Afognak River (Litnik),23,Chinook,410,166,adfg_fish_counts\series\afognak_river_litnik__chinook__1994_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2010 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2009 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2008 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2007 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2005%2C2004%2C2003%2C2002%2C2001 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2005 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2004 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2003 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2002 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2001 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2000%2C1999%2C1998%2C1997%2C1996 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=2000 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=1999 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=1998 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=1997 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=1996 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=1995%2C1994 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=1995 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=410&year=1994,success
Afognak River (Litnik),chum,2006,2025,Afognak River (Litnik),23,Chum,450,426,adfg_fish_counts\series\afognak_river_litnik__chum__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=450&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=450&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=450&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=450&year=2010%2C2009%2C2008%2C2007%2C2006,success
Afognak River (Litnik),coho,2001,2025,Afognak River (Litnik),23,Coho,430,409,adfg_fish_counts\series\afognak_river_litnik__coho__2001_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=430&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=430&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=430&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=430&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=430&year=2005%2C2004%2C2003%2C2002%2C2001,success
Afognak River (Litnik),pink,2006,2025,Afognak River (Litnik),23,Pink,440,641,adfg_fish_counts\series\afognak_river_litnik__pink__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=440&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=440&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=440&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=440&year=2010%2C2009%2C2008%2C2007%2C2006,success
Afognak River (Litnik),sockeye,1994,2025,Afognak River (Litnik),23,Sockeye,420,3041,adfg_fish_counts\series\afognak_river_litnik__sockeye__1994_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=420&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=420&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=420&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=420&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=420&year=2005%2C2004%2C2003%2C2002%2C2001 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=420&year=2000%2C1999%2C1998%2C1997%2C1996 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=420&year=1995%2C1994,success
Afognak River (Litnik),steelhead,2006,2025,Afognak River (Litnik),23,Steelhead,540,1463,adfg_fish_counts\series\afognak_river_litnik__steelhead__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=540&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=540&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=540&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=23&speciesID=540&year=2010%2C2009%2C2008%2C2007%2C2006,success
Alagnak River,sockeye,2004,2011,Alagnak River,47,Sockeye,420,207,adfg_fish_counts\series\alagnak_river__sockeye__2004_2011.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=47&speciesID=420&year=2011%2C2010%2C2009%2C2008%2C2007 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=47&speciesID=420&year=2006%2C2005%2C2004,success
Anchor River,chinook,2003,2025,Anchor River,9,Chinook,410,2372,adfg_fish_counts\series\anchor_river__chinook__2003_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=9&speciesID=410&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=9&speciesID=410&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=9&speciesID=410&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=9&speciesID=410&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=9&speciesID=410&year=2005%2C2004%2C2003,success
Anchor River,coho,2004,2025,Anchor River,9,Coho,430,879,adfg_fish_counts\series\anchor_river__coho__2004_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=9&speciesID=430&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=9&speciesID=430&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=9&speciesID=430&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=9&speciesID=430&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=9&speciesID=430&year=2005%2C2004,success
Anchor River,steelhead,2020,2025,Anchor River,9,Steelhead,540,374,adfg_fish_counts\series\anchor_river__steelhead__2020_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=9&speciesID=540&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=9&speciesID=540&year=2020,success
