location_name,series_label,start_year,end_year,latitude,longitude
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333
Afognak River (Litnik),coho,2001,2025,58.0772222,-152.8008333
Afognak River (Litnik),pink,2006,2025,58.0772222,-152.8008333
Afognak River (Litnik),sockeye,1994,2025,58.0772222,-152.8008333
Afognak River (Litnik),steelhead,2006,2025,58.0772222,-152.8008333
Alagnak River,sockeye,2004,2011,59.0047,-156.8603
Anchor River,chinook,2003,2025,59.7725,-151.8369
Anchor River,coho,2004,2025,59.7725,-151.8369
Anchor River,steelhead,2020,2025,59.7725,-151.8369
Anchor River,dolly varden,2021,2025,59.7725,-151.8369
Auke Creek,chum,2002,2009,58.381205,-134.641306
Auke Creek,pink,2002,2009,58.381205,-134.641306
Ayakulik River,chinook,1993,2025,57.1988889,-154.5361111
Ayakulik River,chum,2006,2025,57.1988889,-154.5361111
Ayakulik River,coho,1994,2025,57.1988889,-154.5361111
Ayakulik River,pink,2006,2025,57.1988889,-154.5361111
Ayakulik River,sockeye,2002,2025,57.1988889,-154.5361111
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111
Bear River,chinook,2006,2025,56.13,-160.45
Bear River,chum,2007,2025,56.13,-160.45
Bear River,coho,2007,2025,56.13,-160.45
Bear River,pink,2006,2025,56.13,-160.45
Bear River,sockeye,2006,2025,56.13,-160.45
Buskin River,chinook,2008,2021,57.7536,-152.4783
Buskin River,chum,2006,2025,57.7536,-152.4783
Buskin River,coho,1994,2025,57.7536,-152.4783
Buskin River,pink,2006,2025,57.7536,-152.4783
Buskin River,sockeye,1992,2025,57.7536,-152.4783
Buskin River,steelhead,2006,2025,57.7536,-152.4783
Chena River,chinook,2002,2025,64.7956,-147.9119
Chena River,chum,2005,2025,64.7956,-147.9119
Chignik River,chinook,2006,2025,56.28,-158.64
Chignik River,chum,2006,2025,56.28,-158.64
Chignik River,coho,2006,2025,56.28,-158.64
Chignik River,pink,2006,2025,56.28,-158.64
Chignik River,sockeye,2006,2025,56.28,-158.64
Coghill River,chum,2012,2025,61.0719444,-147.9108333
Coghill River,pink,2011,2025,61.0719444,-147.9108333
Coghill River,sockeye,1974,2025,61.0719444,-147.9108333
Copper River (Miles L),sockeye,1978,2025,60.681,-144.667
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078
Cottonwood Creek,coho,1997,2004,61.575,-149.4078
Crescent River,sockeye,1979,2012,60.2247,-152.5553
Crooked Creek,chinook,2005,2025,61.8677,-158.1316
Deep Creek,chinook,2018,2020,60.0297,-151.683
Deshka,chinook,1995,2025,61.6927778,-150.3063889
Deshka,chum,1996,2025,61.6927778,-150.3063889
Deshka,coho,1996,2025,61.6927778,-150.3063889
Deshka,pink,1996,2025,61.6927778,-150.3063889
Deshka,sockeye,1996,2025,61.6927778,-150.3063889
Dog Salmon River,chinook,2006,2025,57.09,-156.44
Dog Salmon River,chum,2006,2025,57.09,-156.44
Dog Salmon River,coho,2006,2025,57.09,-156.44
Dog Salmon River,pink,2006,2025,57.09,-156.44
Dog Salmon River,sockeye,2006,2025,57.09,-156.44
Dog Salmon River,steelhead,2006,2025,57.09,-156.44
Egegik River,sockeye,1957,2011,58.2053,-157.4186
Eshamy Creek,chinook,1957,2025,60.4542,-148.0958
Eshamy Creek,chum,2024,2025,60.4542,-148.0958
Eshamy Creek,coho,2000,2025,60.4542,-148.0958
Eshamy Creek,pink,2024,2025,60.4542,-148.0958
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958
Fish Creek,chum,1996,2025,55.57,-130.3
