metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-06-29,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-06-30,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-01,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-02,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-03,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-04,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-05,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-06,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-07,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-08,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-09,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-10,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-11,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-12,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-13,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-14,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-15,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-16,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-17,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-18,2,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-19,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-20,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-21,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-22,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-23,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-24,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-25,2,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-26,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-27,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-28,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-29,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-30,2,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-07-31,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-08-01,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-08-02,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-08-03,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-08-04,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2006,2006-08-05,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-07-24,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-07-25,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-07-26,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-07-27,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-07-28,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-07-29,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-07-30,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-07-31,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-01,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-02,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-03,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-04,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-05,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-06,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-07,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-08,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-09,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-10,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-11,2,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-12,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-13,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-14,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-15,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-16,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2007,2007-08-17,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2008,2008-07-26,1,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
Afognak River (Litnik),chum,2006,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chum,450,2008,2008-07-27,0,Chum,450,Afognak River (Litnik),23,2026-08-11T20:58:00.556953+00:00
