metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Afognak River (Litnik),coho,2001,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Coho,430,2001,2001-08-04,7,Coho,430,Afognak River (Litnik),23,2026-08-11T20:58:04.224933+00:00
Afognak River (Litnik),coho,2001,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Coho,430,2001,2001-08-05,2,Coho,430,Afognak River (Litnik),23,2026-08-11T20:58:04.224933+00:00
Afognak River (Litnik),coho,2001,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Coho,430,2001,2001-08-06,0,Coho,430,Afognak River (Litnik),23,2026-08-11T20:58:04.224933+00:00
Afognak River (Litnik),coho,2001,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Coho,430,2001,2001-08-07,0,Coho,430,Afognak River (Litnik),23,2026-08-11T20:58:04.224933+00:00
Afognak River (Litnik),coho,2001,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Coho,430,2001,2001-08-08,0,Coho,430,Afognak River (Litnik),23,2026-08-11T20:58:04.224933+00:00
Afognak River (Litnik),coho,2001,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Coho,430,2001,2001-08-09,2,Coho,430,Afognak River (Litnik),23,2026-08-11T20:58:04.224933+00:00
Afognak River (Litnik),coho,2001,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Coho,430,2001,2001-08-10,0,Coho,430,Afognak River (Litnik),23,2026-08-11T20:58:04.224933+00:00
Afognak River (Litnik),coho,2001,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Coho,430,2001,2001-08-11,0,Coho,430,Afognak River (Litnik),23,2026-08-11T20:58:04.224933+00:00
Afognak River (Litnik),coho,2001,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Coho,430,2001,2001-08-12,0,Coho,430,Afognak River (Litnik),23,2026-08-11T20:58:04.224933+00:00
Afognak River (Litnik),coho,2001,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Coho,430,2001,2001-08-13,0,Coho,430,Afognak River (Litnik),23,2026-08-11T20:58:04.224933+00:00
