metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-05-30,163,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-05-31,339,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-01,902,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-02,342,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-03,456,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-04,375,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-05,528,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-06,385,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-07,224,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-08,460,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-09,323,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-10,584,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-11,158,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-12,121,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-13,181,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-14,499,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-15,265,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-16,213,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-17,166,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-18,106,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-19,119,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-20,97,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-21,191,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
Anchor River,chinook,2003,2025,59.7725,-151.8369,Anchor River,9,Chinook,410,2003,2003-06-22,148,Chinook,410,Anchor River,9,2026-08-11T20:58:24.203565+00:00
