metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-02,3,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-03,1,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-04,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-05,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-06,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-07,1,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-08,1,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-09,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-10,2,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-11,1,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-12,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-13,1,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-14,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-15,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-16,2,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-17,2,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-18,1,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-19,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-20,3,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-21,4,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-22,1,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-23,4,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-24,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-25,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-26,1,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-27,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-28,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-29,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-30,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-08-31,0,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-09-01,4,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-09-02,5,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
Anchor River,steelhead,2020,2025,59.7725,-151.8369,Anchor River,9,Steelhead,540,2020,2020-09-03,4,Steelhead,540,Anchor River,9,2026-08-11T20:58:29.476697+00:00
