metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111,Ayakulik River,25,Steelhead,540,2006,2006-06-05,7,Steelhead,540,Ayakulik River,25,2026-08-11T20:58:59.887414+00:00
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111,Ayakulik River,25,Steelhead,540,2006,2006-06-06,7,Steelhead,540,Ayakulik River,25,2026-08-11T20:58:59.887414+00:00
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111,Ayakulik River,25,Steelhead,540,2006,2006-06-07,6,Steelhead,540,Ayakulik River,25,2026-08-11T20:58:59.887414+00:00
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111,Ayakulik River,25,Steelhead,540,2006,2006-06-08,0,Steelhead,540,Ayakulik River,25,2026-08-11T20:58:59.887414+00:00
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111,Ayakulik River,25,Steelhead,540,2006,2006-06-09,1,Steelhead,540,Ayakulik River,25,2026-08-11T20:58:59.887414+00:00
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111,Ayakulik River,25,Steelhead,540,2006,2006-06-10,0,Steelhead,540,Ayakulik River,25,2026-08-11T20:58:59.887414+00:00
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111,Ayakulik River,25,Steelhead,540,2006,2006-06-11,0,Steelhead,540,Ayakulik River,25,2026-08-11T20:58:59.887414+00:00
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111,Ayakulik River,25,Steelhead,540,2006,2006-06-12,0,Steelhead,540,Ayakulik River,25,2026-08-11T20:58:59.887414+00:00
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111,Ayakulik River,25,Steelhead,540,2006,2006-06-13,18,Steelhead,540,Ayakulik River,25,2026-08-11T20:58:59.887414+00:00
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111,Ayakulik River,25,Steelhead,540,2006,2006-06-14,21,Steelhead,540,Ayakulik River,25,2026-08-11T20:58:59.887414+00:00
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111,Ayakulik River,25,Steelhead,540,2006,2006-06-15,0,Steelhead,540,Ayakulik River,25,2026-08-11T20:58:59.887414+00:00
Ayakulik River,steelhead,2006,2025,57.1988889,-154.5361111,Ayakulik River,25,Steelhead,540,2006,2006-06-16,1,Steelhead,540,Ayakulik River,25,2026-08-11T20:58:59.887414+00:00
