metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-05-29,1,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-05-30,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-05-31,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-01,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-02,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-03,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-04,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-05,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-06,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-07,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-08,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-09,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-10,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-11,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-12,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-13,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-14,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-15,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-16,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-17,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
Bear River,chinook,2006,2025,56.13,-160.45,Bear River,33,Chinook,410,2006,2006-06-18,0,Chinook,410,Bear River,33,2026-08-11T20:59:03.087709+00:00
