metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-02,1,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-03,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-04,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-05,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-06,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-07,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-08,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-09,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-10,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-11,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-12,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-13,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-14,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-15,1,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-16,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-17,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-18,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
Buskin River,chinook,2008,2021,57.7536,-152.4783,Buskin River,28,Chinook,410,2008,2008-08-19,0,Chinook,410,Buskin River,28,2026-08-11T20:59:26.651991+00:00
