metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-16,0,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-17,4,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-18,8,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-19,19,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-20,17,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-21,20,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-22,9,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-23,53,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-24,14,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-25,9,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-26,23,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-27,9,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-28,6,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-29,2,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-30,5,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-08-31,5,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-09-01,11,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-09-02,15,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-09-03,6,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-09-04,60,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-09-05,102,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-09-06,24,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-09-07,49,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-09-08,60,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
Buskin River,coho,1994,2025,57.7536,-152.4783,Buskin River,28,Coho,430,1994,1994-09-09,110,Coho,430,Buskin River,28,2026-08-11T20:59:35.142619+00:00
