metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-08,1,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-09,1,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-10,0,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-11,0,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-12,0,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-13,0,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-14,0,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-15,0,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-16,0,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-17,0,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-18,0,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-19,1,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-20,5,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
Buskin River,pink,2006,2025,57.7536,-152.4783,Buskin River,28,Pink,440,2006,2006-07-21,0,Pink,440,Buskin River,28,2026-08-11T20:59:38.221201+00:00
