metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-05-24,2,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-05-25,1,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-05-26,1,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-05-27,3,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-05-28,0,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-05-29,0,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-05-30,0,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-05-31,0,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-01,4,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-02,0,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-03,1,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-04,0,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-05,109,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-06,21,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-07,459,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-08,22,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-09,137,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-10,962,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-11,36,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-12,244,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-13,513,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-14,16,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-15,345,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-16,87,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
Buskin River,sockeye,1992,2025,57.7536,-152.4783,Buskin River,28,Sockeye,420,1992,1992-06-17,25,Sockeye,420,Buskin River,28,2026-08-11T20:59:46.010248+00:00
