metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-17,18,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-18,0,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-19,6,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-20,0,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-21,0,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-22,0,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-23,6,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-24,12,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-25,30,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-26,12,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-27,54,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-28,12,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-29,12,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-06-30,0,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-07-01,18,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-07-02,42,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-07-03,24,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-07-04,42,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-07-05,36,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-07-06,48,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-07-07,178,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-07-08,171,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-07-09,119,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-07-10,57,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-07-11,59,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
Chignik River,chinook,2006,2025,56.28,-158.64,Chignik River,30,Chinook,410,2006,2006-07-12,54,Chinook,410,Chignik River,30,2026-08-11T21:00:01.630721+00:00
