metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-07-17,106,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-07-18,0,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-07-19,0,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-16,33,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-17,628,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-18,165,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-19,261,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-20,384,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-21,228,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-23,279,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-24,1250,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-25,738,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-26,2196,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-27,1945,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-28,1536,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-29,2008,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-30,2688,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-08-31,3740,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-09-01,4631,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
Chignik River,coho,2006,2025,56.28,-158.64,Chignik River,30,Coho,430,2006,2006-09-02,4321,Coho,430,Chignik River,30,2026-08-11T21:00:08.109066+00:00
