metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Coghill River,pink,2011,2025,61.0719444,-147.9108333,Coghill River,7,Pink,440,2011,2011-06-28,3,Pink,440,Coghill River,7,2026-08-11T21:00:21.322105+00:00
Coghill River,pink,2011,2025,61.0719444,-147.9108333,Coghill River,7,Pink,440,2011,2011-07-03,3,Pink,440,Coghill River,7,2026-08-11T21:00:21.322105+00:00
Coghill River,pink,2011,2025,61.0719444,-147.9108333,Coghill River,7,Pink,440,2011,2011-07-04,57,Pink,440,Coghill River,7,2026-08-11T21:00:21.322105+00:00
Coghill River,pink,2011,2025,61.0719444,-147.9108333,Coghill River,7,Pink,440,2011,2011-07-05,21,Pink,440,Coghill River,7,2026-08-11T21:00:21.322105+00:00
Coghill River,pink,2011,2025,61.0719444,-147.9108333,Coghill River,7,Pink,440,2011,2011-07-06,16,Pink,440,Coghill River,7,2026-08-11T21:00:21.322105+00:00
Coghill River,pink,2011,2025,61.0719444,-147.9108333,Coghill River,7,Pink,440,2011,2011-07-07,7,Pink,440,Coghill River,7,2026-08-11T21:00:21.322105+00:00
Coghill River,pink,2011,2025,61.0719444,-147.9108333,Coghill River,7,Pink,440,2011,2011-07-08,55,Pink,440,Coghill River,7,2026-08-11T21:00:21.322105+00:00
Coghill River,pink,2011,2025,61.0719444,-147.9108333,Coghill River,7,Pink,440,2011,2011-07-09,508,Pink,440,Coghill River,7,2026-08-11T21:00:21.322105+00:00
Coghill River,pink,2011,2025,61.0719444,-147.9108333,Coghill River,7,Pink,440,2011,2011-07-10,365,Pink,440,Coghill River,7,2026-08-11T21:00:21.322105+00:00
Coghill River,pink,2011,2025,61.0719444,-147.9108333,Coghill River,7,Pink,440,2011,2011-07-11,321,Pink,440,Coghill River,7,2026-08-11T21:00:21.322105+00:00
Coghill River,pink,2011,2025,61.0719444,-147.9108333,Coghill River,7,Pink,440,2011,2011-07-12,1639,Pink,440,Coghill River,7,2026-08-11T21:00:21.322105+00:00
Coghill River,pink,2011,2025,61.0719444,-147.9108333,Coghill River,7,Pink,440,2011,2011-07-13,61,Pink,440,Coghill River,7,2026-08-11T21:00:21.322105+00:00
