metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-10,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-11,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-12,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-13,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-14,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-15,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-16,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-17,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-18,1,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-19,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-20,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-21,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-22,3,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-23,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-24,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-25,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-26,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
Cottonwood Creek,chinook,1997,2002,61.575,-149.4078,Cottonwood Creek,20,Chinook,410,1997,1997-07-27,0,Chinook,410,Cottonwood Creek,20,2026-08-11T21:00:47.403351+00:00
