metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-02,5,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-03,1,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-04,5,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-05,12,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-06,7,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-07,1,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-08,1,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-09,7,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-10,0,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-11,0,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-12,62,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-13,9,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-14,0,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-15,76,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-16,53,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-17,6,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-18,3,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-19,29,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-20,32,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-21,28,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-22,18,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-23,22,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-24,273,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-25,4,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-26,6,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-27,31,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-28,128,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-29,63,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-30,1,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-07-31,606,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-01,323,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-02,526,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-03,410,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-04,739,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-05,290,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-06,407,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-07,704,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-08,1554,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-09,1862,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-10,2899,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-11,5949,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-12,1504,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-13,4567,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-14,7968,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-15,19447,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-16,5598,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2006,2006-08-17,6211,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-06-26,1,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-06-27,12,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-06-28,12,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-06-29,8,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-06-30,53,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-01,21,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-02,113,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-03,84,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-04,65,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-05,39,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-06,243,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-07,86,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-08,220,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-09,180,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-10,492,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-11,229,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-12,208,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-13,36,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-14,46,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-15,74,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-16,68,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-17,232,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-18,149,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-19,931,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-20,400,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-21,130,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-22,1847,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-23,500,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-25,613,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-26,245,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-27,69,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-28,40,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-29,206,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-30,296,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-07-31,216,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-01,89,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-02,18496,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-03,1130,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-04,2842,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-05,2160,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-06,5782,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-07,612,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-08,4201,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-09,964,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-10,526,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-11,1235,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-12,552,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-13,791,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-14,1543,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-15,1443,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-16,12,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-17,2592,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-18,703,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-19,734,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-20,1114,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-21,1374,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-22,1963,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-08-23,1863,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-09-14,63,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2007,2007-09-15,70,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2008,2008-06-22,2,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2008,2008-06-23,2,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2008,2008-06-24,0,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2008,2008-06-25,96,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2008,2008-06-26,22,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2008,2008-06-27,7,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
Dog Salmon River,pink,2006,2025,57.09,-156.44,Dog Salmon River,27,Pink,440,2008,2008-06-28,8,Pink,440,Dog Salmon River,27,2026-08-11T21:01:44.903982+00:00
