metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-05-29,0,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-05-30,0,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-05-31,0,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-01,0,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-02,2,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-03,10,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-04,11,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-05,1,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-06,21,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-07,6,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-08,3,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-09,13,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-10,0,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-11,19,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-12,17,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-13,8,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-14,15,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-15,16,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-16,37,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-17,7,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-18,9,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-19,49,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-20,8,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-21,3,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-22,32,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-23,3,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-24,7,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-25,8,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-26,19,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-27,4,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-28,4,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-29,0,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-06-30,16,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-07-01,2,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-07-02,3,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-07-03,6,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-07-04,1,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-07-05,0,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-07-06,45,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-07-07,3,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-07-08,0,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-07-09,2,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
Dog Salmon River,steelhead,2006,2025,57.09,-156.44,Dog Salmon River,27,Steelhead,540,2006,2006-07-10,0,Steelhead,540,Dog Salmon River,27,2026-08-11T21:01:52.770057+00:00
