metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Eshamy Creek,chum,2024,2025,60.4542,-148.0958,Eshamy Creek,8,Chum,450,2024,2024-07-06,0,Chum,450,Eshamy Creek,8,2026-08-11T21:03:07.352159+00:00
Eshamy Creek,chum,2024,2025,60.4542,-148.0958,Eshamy Creek,8,Chum,450,2024,2024-07-07,3,Chum,450,Eshamy Creek,8,2026-08-11T21:03:07.352159+00:00
Eshamy Creek,chum,2024,2025,60.4542,-148.0958,Eshamy Creek,8,Chum,450,2024,2024-07-08,1,Chum,450,Eshamy Creek,8,2026-08-11T21:03:07.352159+00:00
Eshamy Creek,chum,2024,2025,60.4542,-148.0958,Eshamy Creek,8,Chum,450,2024,2024-07-09,22,Chum,450,Eshamy Creek,8,2026-08-11T21:03:07.352159+00:00
Eshamy Creek,chum,2024,2025,60.4542,-148.0958,Eshamy Creek,8,Chum,450,2024,2024-07-10,21,Chum,450,Eshamy Creek,8,2026-08-11T21:03:07.352159+00:00
Eshamy Creek,chum,2024,2025,60.4542,-148.0958,Eshamy Creek,8,Chum,450,2024,2024-07-11,6,Chum,450,Eshamy Creek,8,2026-08-11T21:03:07.352159+00:00
Eshamy Creek,chum,2024,2025,60.4542,-148.0958,Eshamy Creek,8,Chum,450,2024,2024-07-12,13,Chum,450,Eshamy Creek,8,2026-08-11T21:03:07.352159+00:00
Eshamy Creek,chum,2024,2025,60.4542,-148.0958,Eshamy Creek,8,Chum,450,2024,2024-07-13,16,Chum,450,Eshamy Creek,8,2026-08-11T21:03:07.352159+00:00
Eshamy Creek,chum,2024,2025,60.4542,-148.0958,Eshamy Creek,8,Chum,450,2024,2024-07-14,14,Chum,450,Eshamy Creek,8,2026-08-11T21:03:07.352159+00:00
Eshamy Creek,chum,2024,2025,60.4542,-148.0958,Eshamy Creek,8,Chum,450,2024,2024-07-15,17,Chum,450,Eshamy Creek,8,2026-08-11T21:03:07.352159+00:00
