metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-09,0,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-14,1,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-15,3,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-20,2,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-21,0,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-22,1,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-23,0,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-24,0,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-25,1,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-26,9,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-27,6,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-28,21,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-29,57,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-30,6,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-08-31,1,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-09-01,3,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-09-02,3,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-09-03,2,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-09-04,6,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2000,2000-09-05,4,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2024,2024-07-23,1,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2024,2024-07-26,1,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2024,2024-08-10,4,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2024,2024-08-11,2,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2024,2024-08-12,2,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2024,2024-08-14,1,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2024,2024-08-15,3,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2024,2024-08-16,6,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2024,2024-08-17,7,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
Eshamy Creek,coho,2000,2025,60.4542,-148.0958,Eshamy Creek,8,Coho,430,2024,2024-08-18,2,Coho,430,Eshamy Creek,8,2026-08-11T21:03:27.564448+00:00
