metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-03,8,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-04,35,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-05,12,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-06,6,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-07,123,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-08,204,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-09,22,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-10,36,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-11,18,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-12,9,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-13,1,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-14,1,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-15,0,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-16,2,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-17,0,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-18,0,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-19,2,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-20,26,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-21,11,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-22,0,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-23,101,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-24,48,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-25,14,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-26,2,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-27,4,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-28,2,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-29,0,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-30,0,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-07-31,0,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-01,146,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-02,2,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-03,2,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-04,14,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-05,2,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-06,3,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-07,10,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-08,11,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-09,24,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-10,16,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-11,46,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-12,24,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-13,192,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-14,195,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-15,210,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-16,254,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-17,221,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-18,151,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-19,105,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-20,338,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-21,10009,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-22,6577,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-23,4872,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-24,3509,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
Eshamy Creek,sockeye,1957,2025,60.4542,-148.0958,Eshamy Creek,8,Sockeye,420,1957,1957-08-25,1508,Sockeye,420,Eshamy Creek,8,2026-08-11T21:03:50.837730+00:00
