metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-08,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-09,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-10,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-11,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-12,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-13,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-14,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-15,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-16,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-17,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-18,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-19,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-20,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-21,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-22,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-23,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-24,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-25,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-26,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-27,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-28,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-29,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-30,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
Fish Creek,chum,1996,2025,55.57,-130.3,Fish Creek,21,Chum,450,1996,1996-07-31,0,Chum,450,Fish Creek,21,2026-08-11T21:03:59.839725+00:00
