metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Iliuliuk River(Town Creek),sockeye,2025,2025,53.87,-166.54,Iliuliuk River(Town Creek),79,Sockeye,420,2025,2025-06-08,1,Sockeye,420,Iliuliuk River(Town Creek),79,2026-08-11T21:04:39.962672+00:00
Iliuliuk River(Town Creek),sockeye,2025,2025,53.87,-166.54,Iliuliuk River(Town Creek),79,Sockeye,420,2025,2025-06-09,0,Sockeye,420,Iliuliuk River(Town Creek),79,2026-08-11T21:04:39.962672+00:00
Iliuliuk River(Town Creek),sockeye,2025,2025,53.87,-166.54,Iliuliuk River(Town Creek),79,Sockeye,420,2025,2025-06-10,0,Sockeye,420,Iliuliuk River(Town Creek),79,2026-08-11T21:04:39.962672+00:00
Iliuliuk River(Town Creek),sockeye,2025,2025,53.87,-166.54,Iliuliuk River(Town Creek),79,Sockeye,420,2025,2025-06-11,3,Sockeye,420,Iliuliuk River(Town Creek),79,2026-08-11T21:04:39.962672+00:00
Iliuliuk River(Town Creek),sockeye,2025,2025,53.87,-166.54,Iliuliuk River(Town Creek),79,Sockeye,420,2025,2025-06-12,2,Sockeye,420,Iliuliuk River(Town Creek),79,2026-08-11T21:04:39.962672+00:00
Iliuliuk River(Town Creek),sockeye,2025,2025,53.87,-166.54,Iliuliuk River(Town Creek),79,Sockeye,420,2025,2025-06-13,0,Sockeye,420,Iliuliuk River(Town Creek),79,2026-08-11T21:04:39.962672+00:00
Iliuliuk River(Town Creek),sockeye,2025,2025,53.87,-166.54,Iliuliuk River(Town Creek),79,Sockeye,420,2025,2025-06-14,5,Sockeye,420,Iliuliuk River(Town Creek),79,2026-08-11T21:04:39.962672+00:00
Iliuliuk River(Town Creek),sockeye,2025,2025,53.87,-166.54,Iliuliuk River(Town Creek),79,Sockeye,420,2025,2025-06-15,0,Sockeye,420,Iliuliuk River(Town Creek),79,2026-08-11T21:04:39.962672+00:00
Iliuliuk River(Town Creek),sockeye,2025,2025,53.87,-166.54,Iliuliuk River(Town Creek),79,Sockeye,420,2025,2025-06-16,4,Sockeye,420,Iliuliuk River(Town Creek),79,2026-08-11T21:04:39.962672+00:00
Iliuliuk River(Town Creek),sockeye,2025,2025,53.87,-166.54,Iliuliuk River(Town Creek),79,Sockeye,420,2025,2025-06-17,4,Sockeye,420,Iliuliuk River(Town Creek),79,2026-08-11T21:04:39.962672+00:00
