metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-06-20,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-06-21,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-06-22,11,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-06-23,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-06-24,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-06-25,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-06-26,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-06-27,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-06-28,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-06-29,3,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-06-30,4,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-01,6,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-02,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-03,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-04,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-05,4,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-06,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-07,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-08,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-09,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-10,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-11,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-12,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-13,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-14,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-15,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-16,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-17,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-18,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2006,2006-07-19,3,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-14,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-15,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-16,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-17,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-18,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-19,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-20,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-21,5,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-22,4,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-23,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-24,3,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-25,4,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-26,4,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-27,6,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-28,3,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-29,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-06-30,4,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-01,3,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-02,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-03,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-04,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-05,3,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-06,3,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-07,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-08,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-09,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-10,3,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-11,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-12,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-13,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-14,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-15,3,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-16,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-17,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-18,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-19,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-20,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2007,2007-07-21,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-06-26,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-06-27,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-06-28,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-06-29,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-06-30,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-01,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-02,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-03,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-04,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-05,4,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-06,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-07,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-08,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-09,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-10,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-11,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-12,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-13,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-14,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-15,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-16,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-17,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-18,1,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2008,2008-07-19,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2009,2009-06-21,2,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
Ilnik River,chinook,2006,2025,56.6,-159.61,Ilnik River,35,Chinook,410,2009,2009-06-22,0,Chinook,410,Ilnik River,35,2026-08-11T21:04:43.100756+00:00
