metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-07,1,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-08,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-09,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-10,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-11,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-12,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-13,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-14,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-15,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-16,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-17,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-18,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-19,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-20,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-21,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-22,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-23,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-24,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-25,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-26,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
Karluk River,chum,2006,2025,57.5717,-154.4622,Karluk River,24,Chum,450,2006,2006-07-27,0,Chum,450,Karluk River,24,2026-08-11T21:05:43.847339+00:00
