metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-03,1,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-04,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-05,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-06,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-07,1,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-08,1,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-09,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-10,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-11,1,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-12,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-13,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-14,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-15,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-16,1,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-17,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-18,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-19,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-20,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-21,3,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-22,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-23,2,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-24,17,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-25,16,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-26,1,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-27,1,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-28,4,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-29,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-30,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-07-31,1,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-01,8,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-02,35,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-03,11,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-04,9052,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-05,53,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-06,38,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-07,0,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-08,55,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-09,2927,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-10,125,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-11,18501,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-12,28450,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-13,11418,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-14,9513,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-15,30134,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-16,31812,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-17,48755,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-18,75476,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-19,54786,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-20,70658,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-21,7522,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-22,44726,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-23,32217,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-24,39656,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-25,107098,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-26,67672,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-27,52275,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-28,63039,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-29,24583,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-30,8810,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-08-31,67538,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-09-01,12644,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-09-02,1083,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-09-03,4414,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-09-04,4805,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-09-05,6898,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-09-06,12890,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-09-07,9341,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
Karluk River,pink,2006,2025,57.5717,-154.4622,Karluk River,24,Pink,440,2006,2006-09-08,15610,Pink,440,Karluk River,24,2026-08-11T21:05:52.526126+00:00
