metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2002,2002-06-25,2061,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2002,2002-06-27,1357,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2002,2002-06-28,12176,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2002,2002-06-29,1235,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2002,2002-06-30,5114,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2004,2004-07-06,668,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2004,2004-07-07,19,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2004,2004-07-08,986,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-05-28,445,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-05-29,2,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-05-30,5,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-05-31,6441,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-01,21412,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-02,24409,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-03,12219,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-04,25245,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-05,16655,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-06,4294,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-07,36,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-08,290,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-09,2,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-10,603,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-11,1,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-12,563,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-13,4260,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-14,31690,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-15,10758,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-16,10500,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-17,698,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-18,4127,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-19,2064,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-20,541,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-21,10551,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-22,8592,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-23,15277,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-24,1098,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
Karluk River,sockeye,2002,2025,57.5717,-154.4622,Karluk River,24,Sockeye,420,2005,2005-06-25,4217,Sockeye,420,Karluk River,24,2026-08-11T21:05:58.364890+00:00
