metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-05-27,1,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-05-28,0,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-05-29,0,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-05-30,1,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-05-31,1,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-01,0,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-02,0,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-03,0,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-04,0,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-05,5,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-06,31,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-07,19,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-08,20,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-09,3,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-10,0,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-11,0,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-12,0,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
Little Susitna,sockeye,2013,2025,61.3638,-149.9787,Little Susitna,16,Sockeye,420,2013,2013-06-13,0,Sockeye,420,Little Susitna,16,2026-08-11T21:07:13.571956+00:00
