metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-09,1,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-10,0,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-11,0,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-12,4,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-13,4,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-14,2,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-15,15,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-16,35,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-17,49,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-18,107,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-19,42,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-20,27,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-21,96,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-22,32,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-23,9,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-24,56,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-25,71,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-26,76,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-27,47,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-28,255,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-29,34,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-06-30,20,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-07-01,22,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-07-02,77,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-07-03,97,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-07-04,16,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-07-05,28,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-07-06,21,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-07-07,7,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
Nelson River (Sapsuk),chinook,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Chinook,410,2006,2006-07-08,13,Chinook,410,Nelson River (Sapsuk),32,2026-08-11T21:07:34.938239+00:00
