metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-03,3,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-04,0,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-05,0,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-06,8,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-07,12,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-08,2,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-09,5,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-10,0,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-11,5,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-12,83,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-13,88,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-14,42,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-15,96,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-16,132,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-17,227,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-18,600,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-19,807,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-20,991,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-21,3330,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
Nelson River (Sapsuk),sockeye,2006,2025,55.683333,-161.016667,Nelson River (Sapsuk),32,Sockeye,420,2006,2006-06-22,2102,Sockeye,420,Nelson River (Sapsuk),32,2026-08-11T21:07:45.497416+00:00
