metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-06,65,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-07,163,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-08,374,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-09,398,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-10,280,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-11,302,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-12,2933,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-13,2648,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-14,1027,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-15,5173,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-16,2064,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-17,1905,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-18,4710,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-19,1816,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-20,1930,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-21,4036,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-22,4000,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-23,43419,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-24,14076,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-25,5690,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-26,3041,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-27,21784,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-28,12784,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-29,2008,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-06-30,2799,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-01,5959,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-02,11690,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-03,15207,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-04,7813,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-05,2792,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-06,4944,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-07,4440,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-08,4787,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-09,5762,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-10,5114,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-11,4355,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-12,5981,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-13,8223,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-14,5713,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-15,6158,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
Nushagak River,chum,2011,2025,58.7994,-158.6325,Nushagak River,51,Chum,450,2011,2011-07-16,2636,Chum,450,Nushagak River,51,2026-08-11T21:07:52.617505+00:00
