metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-07-18,548,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-07-21,97,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-07-22,64,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-07-23,64,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-07-24,1052,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-07-26,3465,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-07-27,11897,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-07-28,14926,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-07-29,18420,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-07-30,22393,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-07-31,14003,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-01,1436,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-02,17472,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-03,8644,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-04,9080,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-05,4259,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-06,4628,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-07,6608,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-08,10195,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-09,14899,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-10,23853,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-11,31174,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-12,15423,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
Nushagak River,coho,2012,2024,58.7994,-158.6325,Nushagak River,51,Coho,430,2012,2012-08-13,26738,Coho,430,Nushagak River,51,2026-08-11T21:07:54.677103+00:00
