metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-06-27,2880,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-06-28,12390,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-06-29,17928,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-06-30,13728,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-01,6810,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-02,6870,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-03,4428,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-04,3450,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-05,3516,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-06,3276,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-07,5430,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-08,8682,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-09,6654,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-10,4428,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-11,2832,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-12,2442,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-13,1662,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-14,2058,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-15,2088,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-16,1506,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-17,834,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-18,588,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-19,264,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-20,468,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-21,780,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-22,504,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2003,2003-07-23,150,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2004,2004-06-26,384,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2004,2004-06-27,2532,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2004,2004-06-28,3408,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2004,2004-06-29,4548,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2004,2004-06-30,4056,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2004,2004-07-01,3612,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2004,2004-07-02,1926,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2004,2004-07-03,1500,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
Nuyakuk River,sockeye,2003,2006,59.9348,-158.1901,Nuyakuk River,52,Sockeye,420,2004,2004-07-04,5262,Sockeye,420,Nuyakuk River,52,2026-08-11T21:08:09.457724+00:00
