metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Olga Creek (Upper Station),chinook,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chinook,410,2006,2006-07-26,1,Chinook,410,Olga Creek (Upper Station),26,2026-08-11T21:08:12.391444+00:00
Olga Creek (Upper Station),chinook,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chinook,410,2006,2006-07-27,0,Chinook,410,Olga Creek (Upper Station),26,2026-08-11T21:08:12.391444+00:00
Olga Creek (Upper Station),chinook,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chinook,410,2006,2006-07-28,0,Chinook,410,Olga Creek (Upper Station),26,2026-08-11T21:08:12.391444+00:00
Olga Creek (Upper Station),chinook,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chinook,410,2006,2006-07-29,0,Chinook,410,Olga Creek (Upper Station),26,2026-08-11T21:08:12.391444+00:00
Olga Creek (Upper Station),chinook,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chinook,410,2006,2006-07-30,0,Chinook,410,Olga Creek (Upper Station),26,2026-08-11T21:08:12.391444+00:00
Olga Creek (Upper Station),chinook,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chinook,410,2006,2006-07-31,0,Chinook,410,Olga Creek (Upper Station),26,2026-08-11T21:08:12.391444+00:00
Olga Creek (Upper Station),chinook,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chinook,410,2006,2006-08-01,0,Chinook,410,Olga Creek (Upper Station),26,2026-08-11T21:08:12.391444+00:00
Olga Creek (Upper Station),chinook,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chinook,410,2006,2006-08-02,0,Chinook,410,Olga Creek (Upper Station),26,2026-08-11T21:08:12.391444+00:00
Olga Creek (Upper Station),chinook,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chinook,410,2006,2006-08-03,0,Chinook,410,Olga Creek (Upper Station),26,2026-08-11T21:08:12.391444+00:00
Olga Creek (Upper Station),chinook,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chinook,410,2006,2006-08-04,0,Chinook,410,Olga Creek (Upper Station),26,2026-08-11T21:08:12.391444+00:00
Olga Creek (Upper Station),chinook,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chinook,410,2006,2006-08-05,0,Chinook,410,Olga Creek (Upper Station),26,2026-08-11T21:08:12.391444+00:00
