metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-08-28,1,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-08-29,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-08-30,2,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-01,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-02,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-03,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-04,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-05,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-06,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-07,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-08,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-09,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-10,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-11,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-12,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2007,2007-09-13,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-13,1,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-14,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-15,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-16,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-17,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-18,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-19,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-20,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-21,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-22,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-23,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-24,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
Olga Creek (Upper Station),chum,2007,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Chum,450,2011,2011-07-25,0,Chum,450,Olga Creek (Upper Station),26,2026-08-11T21:08:15.453312+00:00
