metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-16,2,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-17,0,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-18,0,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-19,4,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-20,0,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-21,0,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-22,3,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-23,2,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-24,3,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-25,8,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-26,33,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-27,22,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-28,13,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-29,1,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-30,5,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-07-31,78,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-01,13,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-02,16,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-03,92,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-04,91,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-05,33,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-06,5,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-07,29,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-08,148,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-09,0,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-10,167,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-11,317,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-12,235,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-13,350,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-14,388,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-15,319,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-16,254,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
Olga Creek (Upper Station),pink,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Pink,440,2006,2006-08-17,275,Pink,440,Olga Creek (Upper Station),26,2026-08-11T21:08:21.654714+00:00
