metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Olga Creek (Upper Station),sockeye,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Sockeye,420,2006,2006-05-21,6,Sockeye,420,Olga Creek (Upper Station),26,2026-08-11T21:08:26.422417+00:00
Olga Creek (Upper Station),sockeye,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Sockeye,420,2006,2006-05-22,30,Sockeye,420,Olga Creek (Upper Station),26,2026-08-11T21:08:26.422417+00:00
Olga Creek (Upper Station),sockeye,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Sockeye,420,2006,2006-05-23,1,Sockeye,420,Olga Creek (Upper Station),26,2026-08-11T21:08:26.422417+00:00
Olga Creek (Upper Station),sockeye,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Sockeye,420,2006,2006-05-24,20,Sockeye,420,Olga Creek (Upper Station),26,2026-08-11T21:08:26.422417+00:00
Olga Creek (Upper Station),sockeye,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Sockeye,420,2006,2006-05-25,96,Sockeye,420,Olga Creek (Upper Station),26,2026-08-11T21:08:26.422417+00:00
Olga Creek (Upper Station),sockeye,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Sockeye,420,2006,2006-05-26,151,Sockeye,420,Olga Creek (Upper Station),26,2026-08-11T21:08:26.422417+00:00
Olga Creek (Upper Station),sockeye,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Sockeye,420,2006,2006-05-27,140,Sockeye,420,Olga Creek (Upper Station),26,2026-08-11T21:08:26.422417+00:00
Olga Creek (Upper Station),sockeye,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Sockeye,420,2006,2006-05-28,32,Sockeye,420,Olga Creek (Upper Station),26,2026-08-11T21:08:26.422417+00:00
Olga Creek (Upper Station),sockeye,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Sockeye,420,2006,2006-05-29,24,Sockeye,420,Olga Creek (Upper Station),26,2026-08-11T21:08:26.422417+00:00
Olga Creek (Upper Station),sockeye,2006,2025,57.0572222,-154.3581,Olga Creek (Upper Station),26,Sockeye,420,2006,2006-05-30,105,Sockeye,420,Olga Creek (Upper Station),26,2026-08-11T21:08:26.422417+00:00
