metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2007,2007-08-12,1,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2007,2007-08-13,24,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2007,2007-08-14,19,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2007,2007-08-15,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-07-29,3,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-07-30,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-07-31,2,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-08-01,1,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-08-02,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-08-03,2,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-08-04,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-08-05,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-08-06,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-08-07,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-08-08,3,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-08-09,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-08-10,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-08-11,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2008,2008-08-12,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2009,2009-07-07,1,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2009,2009-07-08,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2009,2009-07-09,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2009,2009-07-10,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2009,2009-07-11,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2009,2009-07-12,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2009,2009-07-13,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
Orzinski Lake,coho,2007,2024,55.7333,-160.0833,Orzinski Lake,31,Coho,430,2009,2009-07-14,0,Coho,430,Orzinski Lake,31,2026-08-11T21:08:54.191896+00:00
