metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-01,6,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-02,2,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-03,0,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-04,14,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-07,3,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-08,234,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-09,82,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-10,789,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-11,331,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-12,260,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-13,1382,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-14,1171,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2007,2007-08-15,0,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-07,7,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-08,4,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-09,0,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-10,1,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-11,0,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-12,4,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-13,0,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-14,0,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-15,25,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-16,11,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-17,7,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-18,4,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-19,4,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-20,29,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-21,39,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
Orzinski Lake,pink,2007,2025,55.7333,-160.0833,Orzinski Lake,31,Pink,440,2008,2008-07-22,39,Pink,440,Orzinski Lake,31,2026-08-11T21:08:57.027421+00:00
