metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Pauls Bay River,chum,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Chum,450,2014,2014-07-11,2,Chum,450,Pauls Bay River,22,2026-08-11T21:09:14.321428+00:00
Pauls Bay River,chum,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Chum,450,2014,2014-07-12,1,Chum,450,Pauls Bay River,22,2026-08-11T21:09:14.321428+00:00
Pauls Bay River,chum,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Chum,450,2014,2014-07-13,0,Chum,450,Pauls Bay River,22,2026-08-11T21:09:14.321428+00:00
Pauls Bay River,chum,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Chum,450,2014,2014-07-14,2,Chum,450,Pauls Bay River,22,2026-08-11T21:09:14.321428+00:00
Pauls Bay River,chum,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Chum,450,2014,2014-07-15,0,Chum,450,Pauls Bay River,22,2026-08-11T21:09:14.321428+00:00
Pauls Bay River,chum,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Chum,450,2014,2014-07-16,0,Chum,450,Pauls Bay River,22,2026-08-11T21:09:14.321428+00:00
Pauls Bay River,chum,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Chum,450,2014,2014-07-17,1,Chum,450,Pauls Bay River,22,2026-08-11T21:09:14.321428+00:00
Pauls Bay River,chum,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Chum,450,2014,2014-07-18,0,Chum,450,Pauls Bay River,22,2026-08-11T21:09:14.321428+00:00
Pauls Bay River,chum,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Chum,450,2014,2014-07-19,7,Chum,450,Pauls Bay River,22,2026-08-11T21:09:14.321428+00:00
Pauls Bay River,chum,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Chum,450,2014,2014-07-20,15,Chum,450,Pauls Bay River,22,2026-08-11T21:09:14.321428+00:00
Pauls Bay River,chum,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Chum,450,2014,2014-07-21,0,Chum,450,Pauls Bay River,22,2026-08-11T21:09:14.321428+00:00
Pauls Bay River,chum,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Chum,450,2014,2014-07-22,0,Chum,450,Pauls Bay River,22,2026-08-11T21:09:14.321428+00:00
