metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-11,1,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-12,0,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-13,0,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-14,0,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-15,0,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-16,0,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-17,1,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-18,0,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-19,7,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-20,5,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-21,0,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-22,1,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-23,0,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-24,12,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-25,0,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-26,0,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-27,27,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
Pauls Bay River,pink,2014,2016,58.2619,-152.4831,Pauls Bay River,22,Pink,440,2014,2014-07-28,1,Pink,440,Pauls Bay River,22,2026-08-11T21:09:21.815788+00:00
