metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-16,942,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-17,3429,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-18,3227,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-19,2232,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-20,663,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-21,25,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-22,0,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-23,0,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-24,2312,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-25,2096,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-26,0,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-27,0,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-28,4162,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-29,6151,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
Pauls Bay River,sockeye,2002,2016,58.2619,-152.4831,Pauls Bay River,22,Sockeye,420,2002,2002-06-30,185,Sockeye,420,Pauls Bay River,22,2026-08-11T21:09:30.760622+00:00
