metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-02,1,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-06,1,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-09,2,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-12,2,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-16,2,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-18,4,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-19,2,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-23,7,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-24,4,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-25,3,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-26,4,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-27,2,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-29,1,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-07-31,1,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-08-01,24,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-08-02,3,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-08-03,2,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-08-04,4,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-08-05,4,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
Russian River,chinook,2002,2025,60.4867,-150.0006,Russian River,13,Chinook,410,2002,2002-08-06,20,Chinook,410,Russian River,13,2026-08-11T21:10:17.420785+00:00
