metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Sandy River,chum,2006,2024,56.1167,-159.9167,Sandy River,34,Chum,450,2006,2006-07-06,3,Chum,450,Sandy River,34,2026-08-11T21:12:13.362131+00:00
Sandy River,chum,2006,2024,56.1167,-159.9167,Sandy River,34,Chum,450,2006,2006-07-07,3,Chum,450,Sandy River,34,2026-08-11T21:12:13.362131+00:00
Sandy River,chum,2006,2024,56.1167,-159.9167,Sandy River,34,Chum,450,2006,2006-07-08,1,Chum,450,Sandy River,34,2026-08-11T21:12:13.362131+00:00
Sandy River,chum,2006,2024,56.1167,-159.9167,Sandy River,34,Chum,450,2006,2006-07-09,0,Chum,450,Sandy River,34,2026-08-11T21:12:13.362131+00:00
Sandy River,chum,2006,2024,56.1167,-159.9167,Sandy River,34,Chum,450,2006,2006-07-10,0,Chum,450,Sandy River,34,2026-08-11T21:12:13.362131+00:00
Sandy River,chum,2006,2024,56.1167,-159.9167,Sandy River,34,Chum,450,2006,2006-07-11,0,Chum,450,Sandy River,34,2026-08-11T21:12:13.362131+00:00
Sandy River,chum,2006,2024,56.1167,-159.9167,Sandy River,34,Chum,450,2006,2006-07-12,2,Chum,450,Sandy River,34,2026-08-11T21:12:13.362131+00:00
Sandy River,chum,2006,2024,56.1167,-159.9167,Sandy River,34,Chum,450,2006,2006-07-13,1,Chum,450,Sandy River,34,2026-08-11T21:12:13.362131+00:00
Sandy River,chum,2006,2024,56.1167,-159.9167,Sandy River,34,Chum,450,2006,2006-07-14,0,Chum,450,Sandy River,34,2026-08-11T21:12:13.362131+00:00
Sandy River,chum,2006,2024,56.1167,-159.9167,Sandy River,34,Chum,450,2006,2006-07-15,0,Chum,450,Sandy River,34,2026-08-11T21:12:13.362131+00:00
