metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Sandy River,sockeye,2006,2024,56.1167,-159.9167,Sandy River,34,Sockeye,420,2006,2006-06-24,10000,Sockeye,420,Sandy River,34,2026-08-11T21:12:21.207646+00:00
Sandy River,sockeye,2006,2024,56.1167,-159.9167,Sandy River,34,Sockeye,420,2006,2006-06-25,2231,Sockeye,420,Sandy River,34,2026-08-11T21:12:21.207646+00:00
Sandy River,sockeye,2006,2024,56.1167,-159.9167,Sandy River,34,Sockeye,420,2006,2006-06-26,86,Sockeye,420,Sandy River,34,2026-08-11T21:12:21.207646+00:00
Sandy River,sockeye,2006,2024,56.1167,-159.9167,Sandy River,34,Sockeye,420,2006,2006-06-27,195,Sockeye,420,Sandy River,34,2026-08-11T21:12:21.207646+00:00
Sandy River,sockeye,2006,2024,56.1167,-159.9167,Sandy River,34,Sockeye,420,2006,2006-06-28,857,Sockeye,420,Sandy River,34,2026-08-11T21:12:21.207646+00:00
Sandy River,sockeye,2006,2024,56.1167,-159.9167,Sandy River,34,Sockeye,420,2006,2006-06-29,2165,Sockeye,420,Sandy River,34,2026-08-11T21:12:21.207646+00:00
Sandy River,sockeye,2006,2024,56.1167,-159.9167,Sandy River,34,Sockeye,420,2006,2006-06-30,2571,Sockeye,420,Sandy River,34,2026-08-11T21:12:21.207646+00:00
Sandy River,sockeye,2006,2024,56.1167,-159.9167,Sandy River,34,Sockeye,420,2006,2006-07-01,1729,Sockeye,420,Sandy River,34,2026-08-11T21:12:21.207646+00:00
Sandy River,sockeye,2006,2024,56.1167,-159.9167,Sandy River,34,Sockeye,420,2006,2006-07-02,2323,Sockeye,420,Sandy River,34,2026-08-11T21:12:21.207646+00:00
Sandy River,sockeye,2006,2024,56.1167,-159.9167,Sandy River,34,Sockeye,420,2006,2006-07-03,3951,Sockeye,420,Sandy River,34,2026-08-11T21:12:21.207646+00:00
Sandy River,sockeye,2006,2024,56.1167,-159.9167,Sandy River,34,Sockeye,420,2006,2006-07-04,1225,Sockeye,420,Sandy River,34,2026-08-11T21:12:21.207646+00:00
