metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-07-13,1,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-07-17,2,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-07-18,5,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-07-19,1,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-07-20,2,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-07-25,2,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-07-27,7,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-07-31,7,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-08-01,3,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-08-02,11,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-08-03,43,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-08-04,16,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-08-05,45,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-08-06,150,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-08-07,92,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-08-08,2,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2017,2017-08-10,51,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2018,2018-07-10,3,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2018,2018-07-11,1,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2018,2018-07-12,0,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2018,2018-07-13,0,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
Situk River,chum,1999,2025,59.4455,-139.554,Situk River,5,Chum,450,2018,2018-07-14,0,Chum,450,Situk River,5,2026-08-11T21:12:47.958930+00:00
