metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-07-28,15,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-07-29,26,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-07-30,22,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-07-31,31,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-08-02,70,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-08-03,5,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-08-04,8,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-08-05,23,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-08-06,25,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-08-07,104,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-08-08,1,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-08-09,20,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2017,2017-08-10,20,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2018,2018-07-26,1,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2018,2018-07-27,1,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2018,2018-07-28,2,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2018,2018-07-29,1,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2018,2018-07-30,2,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2018,2018-07-31,1,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2018,2018-08-01,2,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2018,2018-08-02,0,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2018,2018-08-03,2,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2018,2018-08-04,1,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2018,2018-08-05,2,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2018,2018-08-06,1,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2019,2019-08-03,1,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2019,2019-08-04,2,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2019,2019-08-05,10,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2019,2019-08-06,113,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2019,2019-08-07,191,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2019,2019-08-08,51,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2019,2019-08-09,61,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
Situk River,coho,2017,2025,59.4455,-139.554,Situk River,5,Coho,430,2019,2019-08-11,6,Coho,430,Situk River,5,2026-08-11T21:12:53.082114+00:00
