metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-06-26,1,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-06-30,1,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-02,3,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-03,6,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-06,3,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-07,4,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-08,5,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-09,10,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-10,45,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-11,26,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-12,6,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-13,50,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-14,38,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-15,264,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-16,557,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-17,1386,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-18,2000,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-19,3512,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-20,1479,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-21,1510,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-22,427,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-23,228,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-24,460,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-25,3496,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-26,5988,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-27,7928,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-28,18921,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-29,14142,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-30,14423,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-07-31,9001,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-08-01,6279,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-08-02,21772,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-08-03,16694,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-08-04,15191,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-08-05,20140,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-08-06,21083,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-08-07,26457,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-08-08,7284,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-08-09,17115,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2017,2017-08-10,25845,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-05,1,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-06,0,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-07,0,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-08,0,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-09,0,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-10,28,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-11,8,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-12,0,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-13,1,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-14,4,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-15,26,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-16,32,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-17,9,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-18,1,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-19,142,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-20,99,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-21,225,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-22,50,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-23,523,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-24,8457,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-25,3653,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
Situk River,pink,2017,2025,59.4455,-139.554,Situk River,5,Pink,440,2018,2018-07-26,1605,Pink,440,Situk River,5,2026-08-11T21:12:58.481894+00:00
