metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Wasilla Creek,pink,1998,2003,61.62053,-149.18803,Wasilla Creek,19,Pink,440,1998,1998-07-25,0,Pink,440,Wasilla Creek,19,2026-08-11T21:13:41.546672+00:00
Wasilla Creek,pink,1998,2003,61.62053,-149.18803,Wasilla Creek,19,Pink,440,1998,1998-07-26,0,Pink,440,Wasilla Creek,19,2026-08-11T21:13:41.546672+00:00
Wasilla Creek,pink,1998,2003,61.62053,-149.18803,Wasilla Creek,19,Pink,440,1998,1998-07-27,0,Pink,440,Wasilla Creek,19,2026-08-11T21:13:41.546672+00:00
Wasilla Creek,pink,1998,2003,61.62053,-149.18803,Wasilla Creek,19,Pink,440,1998,1998-07-28,0,Pink,440,Wasilla Creek,19,2026-08-11T21:13:41.546672+00:00
Wasilla Creek,pink,1998,2003,61.62053,-149.18803,Wasilla Creek,19,Pink,440,1998,1998-07-29,0,Pink,440,Wasilla Creek,19,2026-08-11T21:13:41.546672+00:00
Wasilla Creek,pink,1998,2003,61.62053,-149.18803,Wasilla Creek,19,Pink,440,1998,1998-07-30,0,Pink,440,Wasilla Creek,19,2026-08-11T21:13:41.546672+00:00
Wasilla Creek,pink,1998,2003,61.62053,-149.18803,Wasilla Creek,19,Pink,440,1998,1998-07-31,0,Pink,440,Wasilla Creek,19,2026-08-11T21:13:41.546672+00:00
Wasilla Creek,pink,1998,2003,61.62053,-149.18803,Wasilla Creek,19,Pink,440,1998,1998-08-01,0,Pink,440,Wasilla Creek,19,2026-08-11T21:13:41.546672+00:00
Wasilla Creek,pink,1998,2003,61.62053,-149.18803,Wasilla Creek,19,Pink,440,1998,1998-08-02,0,Pink,440,Wasilla Creek,19,2026-08-11T21:13:41.546672+00:00
Wasilla Creek,pink,1998,2003,61.62053,-149.18803,Wasilla Creek,19,Pink,440,1998,1998-08-03,0,Pink,440,Wasilla Creek,19,2026-08-11T21:13:41.546672+00:00
Wasilla Creek,pink,1998,2003,61.62053,-149.18803,Wasilla Creek,19,Pink,440,1998,1998-08-04,0,Pink,440,Wasilla Creek,19,2026-08-11T21:13:41.546672+00:00
